TRANSPORT I SEMESTR rok akademicki 2024/2025,,,,,
"EGZAMINY: 
Analiza matematyczna i algebra liniowa, Fizyka, Systemy transportowe, Środki transportu",,,,,
DNI,PONIEDZIAŁEK,WTOREK,ŚRODA,CZWARTEK,PIĄTEK
GRUPA,,,,,
GODZ.,,,,,
725- 810,,,,,
815- 900,,"Język angielski - lektorat 15h


daty: 22.10, 05.11, 19.11, 03.12, 17.12

zajęcia w siedzibie Uczelni","Analiza matematyczna i algebra liniowa
- ćwiczenia 30h
dr Kamil Powroźnik

daty: 09.10, 16.10, 23.10, 30.10, 06.11, 13.11, 20.11, 27.11, 04.12, 11.12

sala
zajęcia w siedzibie Uczelni","Środki transportu - wykład 15h
dr inż. Monika Pilipiuk
daty: 17.10, 24.10, 31.10, 07.11, 14.11, 21.11, 28.11, 05.12
w dniu 05.12 zajęcia w godz. 9:05-9:50
sala
zajęcia w siedzibie Uczelni","Analiza matematyczna i algebra liniowa 
- wykład 15h
dr Kamil Powroźnik

daty: 04.10, 11.10, 18.10, 25.10, 08.11

zajęcia on-line"
905- 950,,,,,
1000-1045,"Wychowanie fizyczne - ćwiczenia 30h
w godz. 10:30-12:45

daty: 28.10, 04.11, 18.11, 25.11, 02.12, 09.12, 16.12, 13.01, 20.01, 27.01

7 Fit
ul. Jana Pawła II 17, 20-535 Lublin",,,"Środki transportu- ćwiczenia 30h
dr inż. Monika Pilipiuk

daty: 17.10, 24.10, 31.10, 07.11, 14.11, 21.11, 28.11, 05.12, 12.12, 19.12

sala
zajęcia w siedzibie Uczelni",
1050- 1135,,"Fizyka  - wykład 15h


daty: 08.10, 22.10, 05.11, 19.11, 03.12

sala
zajęcia w siedzibie Uczelni","Fizyka - laboratorium 30h


daty: 09.10, 16.10, 23.10, 30.10, 06.11, 13.11, 20.11, 27.11, 04.12, 11.12

sala
zajęcia w siedzibie Uczelni",,
1145- 1230,,,,,
1235- 1320,,,,"Systemy transportowe- ćwiczenia 30h
dr inż. Monika Pilipiuk

daty: 17.10, 24.10, 31.10, 07.11, 14.11, 21.11, 28.11, 05.12, 12.12, 19.12

sala
zajęcia w siedzibie Uczelni",
1330- 1415,,,,,
1420- 1505,,,,,
1515- 1600,"Komunikacja interpersonalna - warsztat 15h

daty: 3 spotkania

sala
zajęcia w siedzbie Uczelni",,"Technologie informacyjne - laboratorium
mgr Karol Gac

daty: 09.10 w godz. 15:00-19:15

sala
zajęcia w siedzibie Uczelni",,"Technologie informacyjne - laboratorium 15h
mgr Karol Gac

daty: 11.10, 18.10 w godz. 15:00-19:15

sala
zajęcia w siedzibie Uczelni"
1605- 1650,,"Systemy transportowe - wykład 15h
dr Rafał Kucharczyk

daty: 15.10,  29.10, 12.11, 26.11, 10.12

zajęcia on-line",,,
1700- 1745,,,,,
1750- 1835,,,,,
1845- 1930,,"Ekonomia - ćwiczenia 15h
dr Rafał Kucharczyk

daty: 15.10,  29.10, 12.11, 26.11, 10.1211

zajęcia on-line",,,
1935- 2020,,,,,
2030- 2115,,,,,
"Program studiów zawiera także:
* Język angielski - lektorat on-line 15h
* Materialy audiowizualne - BHP - wykład 5h - mgr  Anna Rozwadowska-Miziuła
* Materialy audiowizualne - Ochrona danych osobowych - wykład 5h - mgr Magdalena Nurzyńska-Sawicka
* Ekonomia - wykład w języku angielskim 15h",,,,,
